,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Guamal,CO,74.71,overcast clouds,9.1433,-74.2238,Hotel Villa de Mompox
260,Aras,ES,55.83,broken clouds,42.5617,-2.356,AC Hotel by Marriott La Rioja
261,San Juan,AR,62.08,clear sky,-31.5375,-68.5364,Hotel Provincial
262,Constitucion,CL,50.05,clear sky,-35.3333,-72.4167,Hotel Playa El Cable
263,Mujiayingzi,CN,56.97,clear sky,42.1167,118.7833,Junyu Tiancheng Hotel
264,Airai,TL,74.79,overcast clouds,-8.9266,125.4092,The St. Bakhita Centre Eraulo
265,Lorengau,PG,85.19,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
266,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
267,Blythe,US,90.05,clear sky,33.6103,-114.5964,Best Western Desert Oasis
268,Komsomolskiy,UZ,56.12,clear sky,40.4272,71.7189,Grand Osiyo Plaza
269,Palmerston,AU,97.03,few clouds,-12.486,130.9833,Palms City Resort
271,Botou,CN,64.89,clear sky,38.0667,116.5667,Hanting Hotel Huanghua City Hall
272,Magaria,NE,78.35,clear sky,12.9983,8.9099,Chez Honorable Chapiou
274,Faanui,PF,78.21,light rain,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
275,Xichang,CN,52.92,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
276,Labuhan,ID,84.97,moderate rain,-6.8844,112.2051,Hotel Mustika
277,Bauchi,NG,70.57,clear sky,10.5,10.0,Fariah Suites
278,Karratha,AU,90.93,clear sky,-20.7377,116.8463,ibis Styles Karratha
280,Fez,MA,64.65,broken clouds,34.0372,-4.9998,Hotel Mounia Fès
281,Wewak,PG,84.16,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
283,Texarkana,US,71.82,clear sky,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
285,Codrington,AU,65.88,overcast clouds,-38.2667,141.9667,"Seacombe House - Motor Inn, Guest House & Historic Cottages Port Fairy"
287,Saint Anthony,US,61.83,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
288,Nara,JP,70.97,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
289,Bahir Dar,ET,58.86,light rain,11.5936,37.3908,"Delano Hotel, Bahir Dar"
290,Conceicao Do Araguaia,BR,83.05,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
292,Yulara,AU,90.57,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
293,Puqi,CN,69.42,clear sky,29.7167,113.8833,Ramada Plaza Chibi
294,Guigue,VE,71.42,broken clouds,10.0853,-67.7792,La vasquereña
295,Upington,ZA,64.78,clear sky,-28.4478,21.2561,River Place Manor
296,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,HÔTEL TAHITI IA ORA BEACH RESORT
297,San Patricio,US,80.46,clear sky,28.017,-97.5169,La Quinta Inn & Suites by Wyndham Corpus Christi Northwest
301,Sur,OM,85.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
302,Baculin,PH,85.75,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
303,Paita,PE,63.07,scattered clouds,-5.0892,-81.1144,Aloha
304,Ilhabela,BR,68.5,overcast clouds,-23.7781,-45.3581,DPNY Beach Hotel & SPA
